#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.724515           -0.724515                   0
                   2           -0.726494           -0.725505         0.000699654
                   3           -0.724176           -0.725062           0.0005902
                   4           -0.726584           -0.725442         0.000551775
                   5            -0.72529           -0.725412         0.000442258
                   6           -0.723992           -0.725175         0.000427205
                   7           -0.728813           -0.725695         0.000604581
                   8           -0.723659            -0.72544         0.000580108
                   9           -0.725692           -0.725468         0.000516324
                  10           -0.724729           -0.725394         0.000469954
                  11           -0.725841           -0.725435         0.000428982
                  12           -0.726686           -0.725539         0.000405698
                  13           -0.730093            -0.72589         0.000503474
                  14           -0.724273           -0.725774         0.000480568
                  15           -0.727802           -0.725909         0.000467166
                  16            -0.72501           -0.725853         0.000441339
                  17           -0.725859           -0.725853         0.000415378
                  18           -0.724877           -0.725799         0.000395829
                  19           -0.725761           -0.725797         0.000375001
                  20           -0.724913           -0.725753         0.000358848
