#   N_BLOCK:  ACCEPTANCE:
           1    0.273592
           2    0.272116
           3    0.272554
           4    0.272456
           5     0.27257
           6    0.272865
           7    0.272508
           8    0.272765
           9    0.272795
          10    0.272745
          11    0.272735
          12    0.272565
          13    0.272314
          14    0.272438
          15    0.272339
          16    0.272302
          17    0.272298
          18     0.27232
          19    0.272311
          20     0.27233
