#   N_BLOCK:  ACCEPTANCE:
           1    0.381073
           2    0.382215
           3    0.381687
           4    0.381433
           5    0.381523
           6    0.381514
           7     0.38161
           8    0.381666
           9     0.38185
          10    0.381573
          11    0.381556
          12    0.381444
          13    0.381398
          14    0.381539
          15    0.381535
          16    0.381544
          17    0.381618
          18    0.381574
          19    0.381537
          20     0.38158
