#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.31656     0.31656           0
           2    0.321509    0.319034  0.00174974
           3    0.325168    0.321079  0.00203655
           4    0.320068    0.320826  0.00154301
           5    0.317833    0.320227  0.00134556
           6    0.318709    0.319974  0.00114484
           7    0.323101    0.320421  0.00106487
           8    0.327889    0.321354  0.00127696
           9    0.321507    0.321371  0.00113519
          10    0.321082    0.321343  0.00102204
          11    0.323112    0.321503 0.000941694
          12    0.314119    0.320888  0.00104513
          13    0.321632    0.320945 0.000966305
          14    0.322907    0.321085 0.000907388
          15    0.322206     0.32116 0.000849966
          16    0.324176    0.321348 0.000817474
          17    0.325062    0.321567 0.000798033
          18    0.319429    0.321448 0.000762485
          19    0.322697    0.321514 0.000725182
          20    0.319102    0.321393 0.000698877
