#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.02615     3.02615           0
           2     3.02975     3.02795  0.00127481
           3     3.20668     3.08753   0.0486527
           4     3.19134     3.11348   0.0428564
           5     3.03065     3.09691   0.0373498
           6     3.02449     3.08484   0.0330177
           7     3.05593     3.08071   0.0285581
           8     3.06834     3.07917   0.0250301
           9     3.05589     3.07658   0.0223823
          10     3.18038     3.08696    0.022422
          11     3.01843     3.08073   0.0212316
          12     2.97845     3.07221    0.021104
          13     3.09296      3.0738   0.0195409
          14     3.13908     3.07847   0.0186932
          15     2.97291     3.07143   0.0187247
          16     3.07699     3.07178   0.0175576
          17     3.05207     3.07062    0.016563
          18     3.03405     3.06858   0.0157669
          19     3.02465     3.06627   0.0151057
          20     3.16843     3.07138   0.0151895
