#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.616074           -0.616074                   0
                   2           -0.611279           -0.613676          0.00169547
                   3           -0.615618           -0.614324          0.00124778
                   4           -0.617439           -0.615103           0.0011536
                   5           -0.615149           -0.615112         0.000922916
                   6           -0.615427           -0.615164         0.000770588
                   7           -0.615163           -0.615164         0.000660504
                   8           -0.614766           -0.615114         0.000579813
                   9           -0.613775           -0.614966         0.000534134
                  10           -0.617469           -0.615216         0.000536184
                  11           -0.615534           -0.615245         0.000488221
                  12           -0.616582           -0.615356         0.000460077
                  13           -0.615452           -0.615364         0.000424745
                  14           -0.613687           -0.615244          0.00041094
                  15           -0.614851           -0.615218         0.000384376
                  16           -0.614699           -0.615185         0.000361717
                  17           -0.613465           -0.615084         0.000354311
                  18           -0.616627            -0.61517         0.000344839
                  19           -0.615077           -0.615165         0.000326724
                  20           -0.614276           -0.615121         0.000313397
