#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.377326    0.377326           0
           2    0.383351    0.380338  0.00213033
           3    0.378466    0.379714  0.00150889
           4    0.384244    0.380847  0.00149752
           5    0.371532    0.378984  0.00205226
           6    0.373162    0.378013  0.00192596
           7    0.381061    0.378449  0.00169932
           8    0.380325    0.378683  0.00150301
           9    0.384454    0.379325   0.0014664
          10    0.365381     0.37793  0.00186859
          11    0.386537    0.378713  0.00185533
          12    0.381976    0.378985  0.00172054
          13    0.384743    0.379428  0.00164423
          14    0.366215    0.378484  0.00177709
          15    0.378564    0.378489  0.00165863
          16    0.376321    0.378354  0.00156049
          17    0.376275    0.378231  0.00147348
          18    0.373212    0.377953  0.00141775
          19    0.372154    0.377647  0.00137559
          20    0.380894     0.37781  0.00131635
