#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.64876     4.64876           0
           2      4.7409     4.69483   0.0325741
           3     4.46693     4.61886    0.065719
           4     4.79484     4.66286   0.0622986
           5     4.46848     4.62398   0.0607694
           6     4.70685     4.63779   0.0521869
           7     4.77837     4.65788   0.0484418
           8     4.52617     4.64141   0.0450976
           9     4.54956     4.63121   0.0412253
          10     4.45698     4.61378   0.0406177
          11     4.83516     4.63391   0.0416132
          12      4.8179     4.64924   0.0408726
          13     4.74872     4.65689   0.0384382
          14     4.51294     4.64661   0.0370425
          15     4.78275     4.65569   0.0356674
          16      4.5463     4.64885   0.0340871
          17     5.03171     4.67137   0.0388153
          18      4.5811     4.66636   0.0369815
          19     4.68949     4.66757   0.0350551
          20      4.6448     4.66644   0.0333208
