#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.685656           -0.685656                   0
                   2           -0.683435           -0.684546         0.000785341
                   3           -0.682378           -0.683823         0.000788872
                   4           -0.686349           -0.684454          0.00080566
                   5           -0.684644           -0.684492         0.000645419
                   6           -0.685984           -0.684741         0.000583793
                   7           -0.688107           -0.685222         0.000669721
                   8           -0.683546           -0.685012         0.000617895
                   9           -0.683919           -0.684891         0.000561062
                  10            -0.68641           -0.685043         0.000525124
                  11           -0.687681           -0.685283          0.00052933
                  12            -0.68487           -0.685248         0.000486336
                  13            -0.68689           -0.685375         0.000465039
                  14           -0.685305            -0.68537         0.000431848
                  15           -0.687147           -0.685488         0.000418997
                  16           -0.685083           -0.685463         0.000393575
                  17           -0.686281           -0.685511         0.000373357
                  18           -0.686448           -0.685563         0.000356228
                  19           -0.685597           -0.685565         0.000337484
                  20           -0.685084           -0.685541         0.000321465
