#   N_BLOCK:  ACCEPTANCE:
           1    0.311795
           2    0.312426
           3    0.312945
           4    0.312805
           5    0.312796
           6    0.312659
           7    0.312304
           8    0.312505
           9    0.312659
          10    0.312401
          11    0.312198
          12     0.31216
          13    0.312108
          14    0.312113
          15    0.312042
          16    0.312042
          17    0.311991
          18    0.311983
          19    0.311916
          20    0.311931
