#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.441671    0.441671           0
           2     0.43245    0.437061  0.00326019
           3    0.434836    0.436319  0.00225626
           4    0.445972    0.438732  0.00268915
           5    0.441195    0.439225  0.00219598
           6     0.43367    0.438299  0.00201572
           7    0.442519    0.438902  0.00181565
           8    0.434851    0.438395   0.0016578
           9    0.443996    0.439018  0.00158608
          10     0.41778    0.436894  0.00246924
          11    0.448334    0.437934  0.00245403
          12    0.440231    0.438125  0.00225698
          13     0.42898    0.437422  0.00219025
          14    0.442438     0.43778   0.0020629
          15    0.440967    0.437993  0.00193628
          16    0.441682    0.438223  0.00182894
          17    0.437909    0.438205  0.00172145
          18    0.447334    0.438712  0.00169888
          19      0.4314    0.438327  0.00165247
          20    0.455706    0.439196  0.00178374
