#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.767226           -0.767226                   0
                   2           -0.767696           -0.767461         0.000166241
                   3           -0.765959            -0.76696         0.000423618
                   4           -0.770005           -0.767721         0.000731789
                   5           -0.768857           -0.767949         0.000619649
                   6           -0.767606           -0.767891         0.000518999
                   7           -0.769395           -0.768106         0.000487264
                   8           -0.764712           -0.767682         0.000582454
                   9           -0.767489           -0.767661         0.000518129
                  10           -0.767039           -0.767598         0.000470027
                  11            -0.76952           -0.767773           0.0004586
                  12           -0.768304           -0.767817         0.000422514
                  13            -0.76834           -0.767858         0.000391922
                  14           -0.765076           -0.767659           0.0004112
                  15           -0.768366           -0.767706         0.000386481
                  16           -0.771189           -0.767924         0.000419179
                  17           -0.762891           -0.767628         0.000487984
                  18           -0.766964           -0.767591         0.000462264
                  19           -0.769657             -0.7677         0.000450548
                  20           -0.768721           -0.767751         0.000430904
