#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.27696     8.27696           0
           2     8.02976     8.15336   0.0873998
           3      7.8968     8.06784   0.0909442
           4     9.00628     8.30245    0.214323
           5     8.35015     8.31199    0.171671
           6      8.1603     8.28671    0.144908
           7     8.03451     8.25068    0.128608
           8     7.95295     8.21346    0.117794
           9     8.46686     8.24162    0.108018
          10     7.71058     8.18852    0.109494
          11     8.77839     8.24214    0.111904
          12     8.42718     8.25756    0.103636
          13     7.67814     8.21299    0.104811
          14     7.88915     8.18986   0.0998442
          15     8.23269     8.19271   0.0932287
          16     8.69371     8.22403   0.0925109
          17     7.97256     8.20923   0.0882437
          18      8.2879      8.2136   0.0834495
          19     8.40767     8.22382     0.07968
          20     8.16884     8.22107   0.0757434
