#   N_BLOCK:  ACCEPTANCE:
           1    0.231704
           2     0.23123
           3    0.231503
           4    0.231249
           5    0.231118
           6    0.231241
           7    0.231101
           8    0.231429
           9    0.231494
          10    0.231498
          11    0.231388
          12    0.231261
          13    0.231203
          14    0.231441
          15     0.23137
          16    0.231146
          17    0.231385
          18    0.231411
          19    0.231359
          20    0.231296
