# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
286	70.1689	70.1689
287	70.1689	70.1689
288	70.1689	70.1689
289	70.1689	70.1689
290	70.1689	70.1689
291	70.1689	70.1689
292	70.1689	70.1689
293	70.1689	70.1689
294	70.1689	70.1689
295	70.1689	70.1689
296	70.1689	70.1689
297	70.1689	70.1689
298	70.1689	70.1689
299	70.1689	70.1689
300	70.1689	70.1689
301	70.1689	70.1689
302	70.1689	70.1689
303	70.1689	70.1689
304	70.1689	70.1689
305	70.1689	70.1689
306	70.1689	70.1689
307	70.1689	70.1689
308	70.1689	70.1689
309	70.1689	70.1689
310	70.1689	70.1689
311	70.1689	70.1689
312	70.1689	70.1689
313	70.1689	70.1689
314	70.1689	70.1689
315	70.1689	70.1689
316	70.1689	70.1689
317	70.1689	70.1689
318	70.1689	70.1689
319	70.1689	70.1689
320	70.1689	70.1689
321	70.1689	70.1689
322	70.1689	70.1689
323	70.1529	70.1688
324	70.1529	70.1683
325	70.1529	70.3449
326	70.1529	70.9469
327	70.1529	71.6161
328	70.1529	72.124
329	70.1529	72.1065
330	70.1529	71.8442
331	70.1529	71.1547
332	70.1529	70.52
333	70.1529	70.2364
334	70.1529	70.1566
335	70.1529	70.1529
336	70.1529	70.1529
337	70.1529	70.1529
338	70.1529	70.1529
339	69.5224	70.1479
340	69.5224	70.1274
341	69.5224	70.2088
342	69.5224	70.8015
343	69.5224	71.4542
344	69.5224	71.8546
345	69.5224	71.6339
346	69.5224	70.8962
347	69.5224	70.3691
348	69.5224	69.8785
349	69.5224	69.6277
350	69.5224	69.5224
351	69.5224	69.5224
352	69.5224	69.5224
353	69.5224	69.5224
354	69.5224	69.5224
355	69.5224	69.5224
356	69.5224	69.5224
357	69.5224	69.5224
358	69.5224	69.5224
359	69.5224	69.5224
360	69.5224	69.5224
361	69.5224	69.5224
362	69.5224	69.5224
363	69.5224	69.5224
364	69.5224	69.5224
365	69.5224	69.5224
366	69.5224	69.5224
367	69.5224	69.5224
368	69.5224	69.5224
369	69.5224	69.5224
370	69.5224	69.5224
371	69.5224	69.5224
372	69.5224	69.5224
373	69.5224	69.5224
374	69.5224	69.5224
375	69.5224	69.5224
376	69.5224	69.5224
377	69.5224	69.5224
378	69.5224	69.5224
379	69.5224	69.5224
380	69.5224	69.5224
381	69.5224	69.5224
382	69.5224	69.5224
383	69.5224	69.5224
384	69.5224	69.5224
385	69.5224	69.5224
386	69.5224	69.5224
387	69.5224	69.5224
388	69.5224	69.5224
389	69.5224	69.5224
390	69.5224	69.5224
391	69.5224	69.5224
392	69.5224	69.5224
393	69.3905	69.5223
394	69.3905	69.5201
395	69.3905	69.5065
396	69.3905	69.4755
397	69.3905	69.4407
398	69.3905	69.4114
399	69.3905	69.3908
400	69.3905	69.3905
401	69.3905	69.3905
402	69.3905	69.3905
403	69.3905	69.3905
404	69.2612	69.3889
405	69.2356	69.3759
406	69.2356	69.3446
407	69.2356	69.3071
408	69.2356	69.2691
409	69.1641	69.2426
410	69.2356	69.2373
411	69.2356	69.2356
412	69.2356	69.2356
413	69.2356	69.2356
414	69.2356	69.2356
415	69.2356	69.2356
416	69.2356	69.2356
417	69.2356	69.2356
418	69.2356	69.2356
419	69.2356	69.2356
420	69.2356	69.2356
421	69.2356	69.2356
422	69.2356	69.2356
423	69.2356	69.2356
424	69.2356	69.2356
