# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
265	6.30083	6.30083
266	6.30083	6.30083
267	6.30083	6.30083
268	6.30083	6.30083
269	6.30083	6.30083
270	6.30083	6.30083
271	6.30083	6.30083
272	6.30083	6.30083
273	6.30083	6.30083
274	6.30083	6.30083
275	6.30083	6.30083
276	6.30083	6.30083
277	6.30083	6.30083
278	6.30083	6.30083
279	6.30083	6.30083
280	6.30083	6.30083
281	6.30083	6.30083
282	6.30083	6.30083
283	6.30083	6.30083
284	6.30083	6.30083
285	6.24605	6.29425
286	6.24605	6.2833
287	6.24605	6.26577
288	6.24605	6.2581
289	6.24605	6.24734
290	6.24605	6.25043
291	6.24605	6.24605
292	6.24605	6.24605
293	6.24605	6.24605
294	6.24605	6.24605
295	6.24605	6.24605
296	6.24605	6.24605
297	6.24605	6.24605
298	6.24605	6.24605
299	6.24605	6.24605
300	6.24605	6.24605
301	6.24605	6.24605
302	6.24605	6.24605
303	6.24605	6.24605
304	6.24605	6.24605
305	6.24605	6.24605
306	6.24605	6.24605
307	6.24605	6.24605
308	6.24605	6.24605
309	6.24605	6.24605
310	6.24605	6.24605
311	6.24605	6.24605
312	6.24605	6.24605
313	6.24605	6.24605
314	6.24605	6.24605
315	6.24605	6.24605
316	6.24605	6.24605
317	6.24605	6.24605
318	6.24605	6.24605
319	6.24605	6.24605
320	6.24605	6.24605
321	6.24605	6.24605
322	6.24605	6.24605
323	6.24605	6.24605
324	6.24605	6.24605
325	6.24605	6.24605
326	6.24605	6.24605
327	6.24605	6.24605
328	6.24605	6.24605
329	6.24605	6.24605
330	6.24605	6.24605
331	6.24605	6.24605
332	6.24605	6.24605
333	6.24605	6.24605
334	6.24605	6.24605
335	6.24605	6.24605
336	6.24605	6.24605
337	6.24605	6.24605
338	6.24605	6.24605
339	6.24605	6.24605
340	6.24605	6.24605
341	6.24605	6.24605
342	6.24605	6.24605
343	6.24605	6.24605
344	6.24605	6.24605
345	6.24605	6.24605
346	6.24605	6.24605
347	6.24605	6.24605
348	6.24605	6.24605
349	6.24605	6.24605
350	6.24605	6.24605
351	6.24605	6.24605
352	6.24605	6.24605
353	6.24605	6.24605
354	6.24605	6.24605
355	6.24605	6.24605
356	6.24605	6.30942
357	6.24605	6.24605
358	6.24605	6.24605
359	6.24605	6.24605
360	6.24605	6.24605
361	6.24605	6.52711
362	6.24605	6.76744
363	6.24605	6.43802
364	6.24605	6.37302
365	6.24605	6.25509
366	6.24605	6.38855
367	6.24605	6.24605
368	6.24605	6.24605
369	6.24605	6.24605
370	6.24605	6.24605
371	6.24605	6.24605
372	6.24605	6.24605
373	6.24605	6.24605
374	6.24605	6.24605
375	6.24605	6.24605
376	6.24605	6.24605
377	6.24605	6.24605
378	6.24605	6.24605
379	6.24605	6.24605
380	6.24605	6.24605
381	6.24605	6.24605
382	6.24605	6.24605
383	6.24605	6.24605
384	6.24605	6.24605
385	6.24605	6.24605
386	6.24605	6.24605
387	6.24605	6.24605
388	6.24605	6.24605
389	6.24605	6.24605
390	6.24605	6.24605
391	6.24605	6.24605
392	6.24605	6.24605
393	6.24605	6.24605
394	6.24605	6.24605
395	6.24605	6.24605
396	6.24605	6.24605
397	6.24605	6.24605
398	6.24605	6.24605
399	6.24605	6.24605
400	6.24605	6.24605
401	6.24605	6.24605
402	6.24605	6.24605
403	6.24605	6.24605
404	6.24605	6.24605
405	6.24605	6.24605
406	6.24605	6.24605
407	6.24605	6.24605
408	6.24605	6.24605
409	6.24605	6.24605
410	6.24605	6.24605
411	6.24605	6.30608
412	6.24605	6.54378
413	6.24605	6.28578
414	6.24605	6.47397
415	6.24605	6.30101
416	6.24605	6.24605
417	6.24605	6.24605
418	6.24605	6.24605
419	6.24605	6.24959
420	6.24605	6.29639
421	6.24605	6.25272
422	6.24605	6.24605
423	6.24605	6.24605
424	6.24605	6.26456
425	6.24605	6.24605
426	6.24605	6.24605
427	6.24605	6.24605
428	6.24605	6.24605
429	6.24605	6.24605
430	6.24605	6.24605
431	6.24605	6.24605
432	6.24605	6.24605
433	6.24605	6.24605
434	6.24605	6.24605
435	6.24605	6.24605
436	6.24605	6.24605
437	6.24605	6.24605
438	6.24605	6.24605
439	6.24605	6.24605
440	6.24605	6.24605
441	6.24605	6.24605
442	6.24605	6.24605
443	6.24605	6.24605
444	6.24605	6.24605
445	6.24605	6.24605
446	6.24605	6.24605
447	6.24605	6.24605
448	6.24605	6.24605
449	6.24605	6.24605
450	6.24605	6.24605
451	6.24605	6.24605
452	6.24605	6.2628
453	6.24605	6.30301
454	6.24605	6.24605
455	6.24605	6.24605
456	6.24605	6.24605
457	6.24605	6.24605
458	6.24605	6.24605
459	6.24605	6.24605
460	6.24605	6.24605
461	6.24605	6.24605
462	6.24605	6.24605
463	6.24605	6.24605
464	6.24605	6.24605
465	6.24605	6.24605
466	6.24605	6.24605
467	6.24605	6.24605
468	6.24605	6.24605
469	6.24605	6.24605
470	6.24605	6.24605
471	6.24605	6.24605
472	6.24605	6.24605
473	6.24605	6.24605
474	6.24605	6.24605
475	6.24605	6.24605
476	6.24605	6.24605
477	6.24605	6.24605
478	6.24605	6.24605
479	6.24605	6.24605
480	6.24605	6.24605
481	6.24605	6.24605
482	6.24605	6.24605
483	6.24605	6.24605
484	6.24605	6.28127
485	6.24605	6.27127
486	6.24605	6.61397
487	6.24605	7.02136
488	6.24605	6.27913
489	6.24605	6.24605
490	6.24605	6.24605
491	6.24605	6.24605
492	6.24605	6.24605
493	6.24605	6.24605
494	6.24605	6.24605
495	6.24605	6.24605
496	6.24605	6.24605
497	6.24605	6.24605
498	6.24605	6.24605
499	6.24605	6.24605
500	6.24605	6.24605
