# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	466.891	505.612
2	428.913	484.552
3	403.802	458.578
4	396.097	439.666
5	394.967	422.797
6	377.961	411.593
7	377.961	403.076
8	366.897	396.207
9	356.462	387.806
10	347.223	380.824
11	347.196	375.014
12	340.399	368.57
13	336.597	361.533
14	332.478	355.662
15	330.43	349.46
16	323.94	343.987
17	321.699	338.464
18	320.065	334.682
19	313.635	329.443
20	309.76	326.521
21	303.996	322.814
22	302.183	317.403
23	297.357	313.588
24	296.217	309.035
25	289.082	305.4
26	283.92	300.983
27	280.912	296.703
28	275.676	292.969
29	272.668	288.634
30	269.759	284.549
31	265.208	279.857
32	258.998	277.246
33	260.924	272.788
34	258.579	270.256
35	255.696	266.943
36	254.949	263.773
37	251.216	260.817
38	248.772	258.627
39	246.825	256.287
40	246.669	254.332
41	244.147	252.145
42	238.639	249.611
43	236.431	247.648
44	227.725	244.847
45	222.494	240.978
46	219.506	235.862
47	218.404	230.511
48	213.843	225.914
49	213.843	222.973
50	212.63	220.265
51	207.163	217.939
52	205.163	215.494
53	204.061	213.052
54	203.807	210.035
55	200.122	207.564
56	199.02	205.357
57	198.05	203.876
58	196.837	201.981
59	195.046	200.398
60	192.93	199.271
61	191.192	198.375
62	189.653	196.875
63	187.097	195.107
64	186.896	193.155
65	184.733	190.76
66	184.383	188.777
67	183.043	187.193
68	182.276	186.599
69	177.912	185.467
70	176.839	183.875
71	176.613	182.331
72	174.416	180.926
73	173.589	179.52
74	171.68	177.268
75	170.869	175.803
76	170.286	174.384
77	169.172	173.309
78	169.113	172.223
79	167.764	171.41
80	166.877	170.357
81	166.877	169.443
82	165.828	168.792
83	165.727	168.153
84	165.295	167.804
85	164.146	167.295
86	164.146	166.628
87	162.566	165.931
88	161.147	165.131
89	160.991	164.29
90	160.272	163.526
91	158.767	162.454
92	157.29	161.519
93	157.29	161.105
94	154.949	160.357
95	153.686	159.157
96	153.391	157.4
97	151.147	156.298
98	150.483	155.221
99	150.483	153.525
100	150.096	152.412
101	150.096	151.469
102	149.227	150.962
103	148.526	150.452
104	148.282	150.119
105	148.34	149.588
106	147.518	149.163
107	146.239	148.83
108	146.239	148.53
109	145.487	148.096
110	144.928	147.618
111	144.37	147.129
112	141.821	146.792
113	141.459	146.136
114	141.04	145.367
115	140.175	144.07
116	139.174	143.018
117	138.975	141.969
118	137.795	141.109
119	137.795	140.257
120	134.108	139.289
121	133.742	138.303
122	132.575	136.851
123	132.575	135.488
124	132.572	134.222
125	131.193	133.498
126	131.015	133.18
127	130.023	132.902
128	130.023	132.416
129	129.346	131.971
130	129.145	131.26
131	127.71	130.674
132	127.063	130.11
133	127.063	129.28
134	127.063	128.773
135	127.063	128.117
136	127.063	127.572
137	126.621	127.139
138	125.812	127.034
139	126.241	126.964
140	126.009	126.78
141	125.57	126.587
142	125.128	126.341
143	123.03	126.022
144	122.487	125.478
145	121.606	124.809
146	120.548	123.6
147	120.548	122.545
148	120.416	121.833
149	119.642	121.37
150	119.642	121.008
151	119.642	120.654
