#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.250606    0.250606           0
           2    0.249427    0.250017 0.000416982
           3    0.255964    0.251999  0.00164239
           4     0.24805    0.251012  0.00149953
           5    0.251858    0.251181  0.00120912
           6    0.252776    0.251447  0.00103641
           7     0.24552      0.2506  0.00118477
           8    0.253663    0.250983  0.00109678
           9    0.247632    0.250611  0.00103618
          10     0.25163    0.250713 0.000937564
          11    0.251709    0.250803 0.000856699
          12    0.249669    0.250709 0.000790503
          13    0.252329    0.250833 0.000739458
          14    0.251823    0.250904 0.000690007
          15    0.246161    0.250588 0.000712771
          16    0.250895    0.250607 0.000668481
          17     0.24662    0.250372  0.00066903
          18    0.248451    0.250266 0.000640325
          19    0.251259    0.250318 0.000608755
          20    0.250506    0.250327 0.000578391
