#   N_BLOCK:  ACCEPTANCE:
           1    0.465708
           2    0.466998
           3    0.466349
           4    0.466204
           5    0.466318
           6    0.466657
           7    0.466616
           8    0.466638
           9    0.466884
          10     0.46692
          11    0.466915
          12    0.466929
          13    0.466932
          14    0.466923
          15    0.466916
          16    0.466887
          17    0.466887
          18    0.466816
          19    0.466706
          20    0.466651
