#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.99013     1.99013           0
           2     1.89432     1.94222   0.0338737
           3     2.01915     1.96787   0.0307938
           4     1.97945     1.97076    0.023231
           5     1.95778     1.96816   0.0187293
           6      1.8907     1.95525   0.0195577
           7     1.94063     1.95317   0.0168749
           8      1.9112     1.94792   0.0155595
           9     1.94048     1.94709   0.0138526
          10     1.98404     1.95079   0.0129508
          11     1.94627     1.95038   0.0117799
          12      1.8872     1.94511   0.0119169
          13     1.94586     1.94517   0.0110003
          14     1.96069     1.94628   0.0102703
          15     1.93616      1.9456  0.00960773
          16     1.86839     1.94078   0.0101472
          17     1.87414     1.93686   0.0102796
          18      1.9108     1.93541  0.00980989
          19     1.94663       1.936  0.00931133
          20     1.96096     1.93725  0.00892901
