#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.531198           -0.531198                   0
                   2           -0.527207           -0.529203            0.001411
                   3           -0.531733           -0.530046          0.00116576
                   4           -0.532445           -0.530646          0.00101695
                   5           -0.530523           -0.530621         0.000813853
                   6           -0.528019           -0.530187         0.000785308
                   7           -0.531675             -0.5304          0.00070128
                   8           -0.529354           -0.530269         0.000625687
                   9           -0.528148           -0.530033         0.000598909
                  10           -0.528973           -0.529927         0.000548328
                  11           -0.529019           -0.529845         0.000504664
                  12           -0.528951            -0.52977         0.000468075
                  13           -0.530197           -0.529803         0.000433218
                  14           -0.530337           -0.529841          0.00040395
                  15           -0.529656           -0.529829         0.000377207
                  16           -0.529609           -0.529815         0.000353882
                  17           -0.530307           -0.529844         0.000334246
                  18           -0.531295           -0.529925         0.000325254
                  19           -0.531861           -0.530027         0.000323703
                  20           -0.530727           -0.530062         0.000309403
