# T		mu		sigma		H		err
2		0.287336		1.28072		0.210507		0.0274827
1.98		0.668827		1.41369		1.51262		0.0652848
1.9602		-0.509239		1.13835		0.0548042		0.0252968
1.9406		-1.18101		0.962391		1.53844		0.0494198
1.92119		-0.402557		1.16625		-0.0361999		0.0190985
1.90198		-1.04688		0.782236		0.108727		0.0186886
1.88296		-0.536354		0.7512		-0.281014		0.00464483
1.86413		-0.151224		1.42516		0.685177		0.0400618
1.84549		-0.797879		1.04558		0.236728		0.0258025
1.82703		-1.10751		0.679743		0.0637631		0.0153036
1.80876		-0.510266		0.643426		-0.216647		0.00459065
1.79068		-0.906838		1.0836		0.747958		0.0411711
1.77277		0.701659		0.666485		-0.406367		0.00333086
1.75504		-0.5418		1.17585		0.189008		0.0279267
1.73749		1.06881		1.23103		2.34584		0.0664545
1.72012		0.497979		0.848132		-0.283058		0.00600512
1.70292		-0.724178		0.709682		-0.397831		0.00400023
1.68589		0.236988		0.35801		1.05996		0.0109649
1.66903		0.0891455		0.417382		1.17485		0.0143812
1.65234		0.108892		1.678		2.61749		0.121168
1.63581		-1.12512		0.597054		0.0141188		0.00875934
1.61946		0.193894		0.700969		0.00734401		0.00630356
1.60326		0.403955		1.67299		2.79594		0.0948104
1.58723		-0.24667		1.04992		-0.216801		0.0116226
1.57136		-0.0661173		0.817996		-0.127576		0.00531827
1.55564		-0.492676		0.514003		-0.0839447		0.0051023
1.54009		-1.4446		0.502066		1.44689		0.0158587
1.52469		-0.705415		0.956534		-0.102611		0.0177482
1.50944		-0.549135		0.473327		-0.122454		0.00616457
1.49434		0.62065		0.564728		-0.317219		0.00346244
1.4794		-0.117829		0.644431		0.177095		0.00753972
1.46461		0.175973		1.32803		0.313492		0.031909
1.44996		-0.638484		1.20121		0.437255		0.0366068
1.43546		0.928946		0.539199		-0.314158		0.00370582
1.42111		-1.08333		1.27001		2.95133		0.0740101
1.4069		1.51278		0.531677		1.99935		0.0199559
1.39283		-0.381482		0.431361		0.290502		0.00808027
