#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.892089    0.892089           0
           2     0.84639     0.86924   0.0161571
           3    0.830936    0.856472   0.0149901
           4    0.845884    0.853825   0.0114739
           5    0.852249     0.85351  0.00918348
           6    0.860074    0.854604   0.0077178
           7    0.846185    0.853401  0.00670832
           8    0.856671     0.85381  0.00588222
           9    0.865375    0.855095  0.00536717
          10    0.860979    0.855683  0.00486259
          11    0.841479    0.854392  0.00458878
          12    0.853051     0.85428  0.00420775
          13    0.833683    0.852696  0.00417172
          14    0.817124    0.850155  0.00458264
          15    0.857775    0.850663   0.0043052
          16    0.852865    0.850801  0.00403832
          17    0.831558    0.849669  0.00395623
          18    0.843822    0.849344  0.00374975
          19    0.832415    0.848453  0.00365672
          20    0.852415    0.848651  0.00347925
