# GEN: 	 LUNGHEZZA DEL MIGLIORE: 	 LUNGHEZZA MEDIA:
1	453.55	505.405
2	437.997	483.728
3	421.787	460.941
4	412.164	446.419
5	405.784	435.125
6	396.624	425.264
7	382.958	415.806
8	377.343	406.985
9	366.596	397.275
10	350.611	387.649
11	346.981	379.514
12	346.177	370.298
13	339.462	363.01
14	337.439	356.09
15	332.332	350.166
16	329.398	345.222
17	321.669	340.416
18	313.239	335.693
19	313.239	331.014
20	308.536	326.344
21	301.419	322.062
22	298.399	318.779
23	290.982	314.517
24	282.51	309.977
25	281.367	304.505
26	282.51	297.934
27	272.121	292.036
28	270.979	286.895
29	266.78	282.422
30	265.94	278.765
31	263.655	274.361
32	259.457	270.399
33	257.319	267.708
34	250.317	265.1
35	247.327	262.547
36	242.935	259.79
37	242.685	255.372
38	241.651	252.049
39	239.759	248.585
40	237.323	245.721
41	232.171	243.323
42	231.028	241.868
43	228.706	239.584
44	222.453	236.735
45	218.371	233.84
46	216.373	230.541
47	213.913	226.327
48	209.918	222.773
49	209.674	220.629
50	208.028	218.113
51	205.448	215.176
52	203.055	213.179
53	201.395	211.516
54	197.667	209.242
55	197.667	207.531
56	197.667	205.898
57	195.555	203.203
58	194.768	201.054
59	191.116	199.323
60	189.693	198.219
61	189.614	196.91
62	185.86	195.603
63	181.505	193.579
64	178.469	192.338
65	176.559	189.746
66	176.559	187.1
67	176.559	185.079
68	173.771	183.424
69	173.771	181.052
70	172.273	178.132
71	172.273	176.063
72	170.672	174.49
73	169.935	173.264
74	168.793	172.071
75	168.67	171.22
76	167.566	170.386
77	166.439	169.412
78	164.28	168.537
79	164.186	167.827
80	162.686	166.781
81	162.546	166.102
82	162.28	165.416
83	161.672	164.373
84	160.362	163.434
85	159.827	162.619
86	158.851	162.108
87	157.213	161.252
88	155.702	160.43
89	154.766	159.62
90	154.742	158.451
91	153.711	157.202
92	153.711	156.085
93	152.651	155.064
94	151.918	154.45
95	151.222	153.879
96	145.887	153.332
97	144.116	151.791
98	141.011	150.057
99	140.296	147.917
100	139.944	146.081
101	138.678	144.383
102	139.23	143.003
103	139.23	141.504
104	139.064	140.679
105	138.858	139.974
106	138.196	139.547
107	137.329	139.202
108	137.046	138.839
109	136.814	138.485
110	136.139	137.969
111	135.459	137.473
112	134.866	137.041
113	134.866	136.561
114	134.544	136.027
115	134.373	135.724
116	134.34	135.39
117	133.747	135.056
118	132.479	134.638
119	130.913	134.368
120	128.998	133.64
121	128.741	132.928
122	128.334	131.765
123	126.953	130.854
124	125.75	130.032
125	125.653	129.16
126	125.75	128.381
127	125.596	127.724
128	124.913	127.095
129	124.913	126.673
130	124.913	126.757
131	124.318	126.353
132	124.318	126.295
133	124.318	126.729
134	124.078	126.711
135	124.078	126.94
136	123.733	126.998
137	122.821	125.92
138	122.821	125.533
139	121.998	124.968
140	120.741	124.318
141	120.293	123.383
142	120.115	122.789
143	120.033	122.225
144	119.491	122.042
145	119.043	121.485
146	118.783	121.092
147	118.032	120.473
148	118.017	119.696
149	118.032	119.382
150	117.89	118.822
151	117.113	118.713
152	117.113	118.456
153	116.74	118.19
154	115.746	118.009
155	112.974	117.641
156	112.032	116.863
157	112.032	116.073
158	111.382	114.753
159	111.382	113.757
160	110.359	112.928
161	109.498	112.099
162	109.498	112.307
163	109.498	112.156
164	109.498	111.806
165	109.498	112.001
166	109.498	112.345
167	109.498	111.991
168	109.498	112.434
169	109.498	112.79
170	109.498	113.061
171	109.391	112.132
172	109.374	111.438
173	108.139	110.863
174	108.139	110.758
175	107.943	109.873
176	107.731	109.334
177	107.682	108.891
178	107.535	108.497
179	107.498	108.423
180	106.901	108.391
181	105.992	108.561
182	105.856	108.586
183	105.856	108.603
184	105.675	108.604
185	105.289	109.398
186	105.247	109.526
187	104.555	108.727
188	104.078	107.408
189	104.078	106.605
190	103.809	105.853
191	102.955	105.914
192	102.877	105.887
193	101.904	105.5
194	101.17	104.794
195	101.17	104.068
196	100.341	103.602
197	100.341	102.984
198	100.341	102.282
199	100.341	101.316
200	100.004	101.044
201	99.952	100.571
202	99.952	100.41
203	99.6153	100.249
204	99.6153	100.061
205	99.6153	99.8918
206	98.9644	99.8067
207	98.9644	99.6691
208	98.7183	99.4944
209	98.6283	99.3666
210	98.0411	99.2777
211	98.1205	99.1033
212	97.2488	99.2203
213	96.5947	98.9451
214	96.5498	98.4166
215	96.3664	98.1489
216	96.3664	97.6819
217	95.9451	97.3412
218	95.9063	97.0639
219	95.6674	96.7596
220	95.5378	96.5303
221	95.4991	96.5072
222	95.4196	96.1501
223	95.337	95.9305
224	94.98	95.7348
225	94.9343	95.6289
226	94.9343	95.6722
227	94.9281	95.8183
228	94.8841	96.4402
229	94.8076	96.6356
230	94.7945	97.0325
231	94.7945	96.6901
232	94.3233	97.4012
233	94.3163	97.3055
234	94.3163	96.4211
235	94.3163	96.3818
236	94.3163	95.9299
237	94.3163	95.0373
238	93.6847	94.5921
239	93.6847	94.4092
240	93.6847	94.2335
241	93.6847	94.1187
242	93.3059	93.9877
243	93.3059	93.6961
244	92.8154	93.5605
245	92.8154	93.4068
246	92.2659	93.2733
247	92.0435	93.0799
248	91.8545	92.8943
249	91.8545	92.5333
250	91.8545	92.2359
251	91.8545	92.0676
252	91.4115	91.9767
253	90.7345	91.8602
254	89.8801	91.6453
255	89.8801	91.314
256	89.8225	90.8554
